implementation_id,display_name,run_status,slice_family,slice_value,n_expected,metric_key,direction,analysis_unit,seed_count,mean,sample_standard_deviation,seed_0,seed_1,seed_2,run_id,artifact_sha256
wma-dummy,Dummy / No Memory,PENDING,question_type,FR,591,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,FR,591,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,FR,591,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,FR,591,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,FR,591,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,FR,591,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,FR,591,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,FR,591,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,KR,593,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,KR,593,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,KR,593,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,KR,593,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,KR,593,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,KR,593,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,KR,593,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,KR,593,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MB,615,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MB,615,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MB,615,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MB,615,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MB,615,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MB,615,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MB,615,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MB,615,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MC,604,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MC,604,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MC,604,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MC,604,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MC,604,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MC,604,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MC,604,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,MC,604,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TR,582,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TR,582,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TR,582,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TR,582,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TR,582,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TR,582,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TR,582,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TR,582,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TTL,582,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TTL,582,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TTL,582,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TTL,582,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TTL,582,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TTL,582,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TTL,582,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,TTL,582,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,UNKNOWN,1356,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,UNKNOWN,1356,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,UNKNOWN,1356,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,UNKNOWN,1356,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,UNKNOWN,1356,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,UNKNOWN,1356,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,UNKNOWN,1356,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,UNKNOWN,1356,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VFR,614,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VFR,614,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VFR,614,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VFR,614,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VFR,614,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VFR,614,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VFR,614,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VFR,614,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VS,609,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VS,609,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VS,609,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VS,609,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VS,609,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VS,609,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VS,609,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VS,609,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VU,606,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VU,606,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VU,606,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VU,606,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VU,606,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VU,606,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VU,606,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,question_type,VU,606,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,agent,6806,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,agent,6806,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,agent,6806,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,agent,6806,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,agent,6806,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,agent,6806,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,agent,6806,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,agent,6806,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,lifelong,1100,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,lifelong,1100,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,lifelong,1100,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,lifelong,1100,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,lifelong,1100,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,lifelong,1100,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,lifelong,1100,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,scope,lifelong,1100,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/embodied,3718,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/embodied,3718,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/embodied,3718,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/embodied,3718,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/embodied,3718,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/embodied,3718,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/embodied,3718,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/embodied,3718,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/gui,3088,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/gui,3088,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/gui,3088,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/gui,3088,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/gui,3088,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/gui,3088,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/gui,3088,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,agent/gui,3088,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/personal,440,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/personal,440,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/personal,440,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/personal,440,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/personal,440,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/personal,440,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/personal,440,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/personal,440,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/project,660,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/project,660,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/project,660,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/project,660,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/project,660,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/project,660,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/project,660,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,task_family,lifelong/project,660,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,easy,1450,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,easy,1450,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,easy,1450,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,easy,1450,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,easy,1450,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,easy,1450,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,easy,1450,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,easy,1450,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,hard,3047,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,hard,3047,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,hard,3047,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,hard,3047,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,hard,3047,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,hard,3047,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,hard,3047,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,hard,3047,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,medium,3409,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,medium,3409,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,medium,3409,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,medium,3409,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,medium,3409,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,medium,3409,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,medium,3409,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,difficulty,medium,3409,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image,1891,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image,1891,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image,1891,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image,1891,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image,1891,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image,1891,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image,1891,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image,1891,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image+memory,4050,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image+memory,4050,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image+memory,4050,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image+memory,4050,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image+memory,4050,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image+memory,4050,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image+memory,4050,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,image+memory,4050,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,memory,1323,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,memory,1323,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,memory,1323,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,memory,1323,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,memory,1323,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,memory,1323,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,memory,1323,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,memory,1323,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,none,642,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,none,642,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,none,642,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,none,642,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,none,642,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,none,642,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,none,642,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,evidence_modality,none,642,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,retrieval_recall_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,retrieval_ndcg_at_10,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,correct_ratio,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,hallucination_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,omission_ratio,lower,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,answer_f1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,answer_bleu1,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,retrieval_hit_rate,higher,model_seed,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,retrieval_recall_at_10,higher,model_seed,,,,,,,,
